,DATA,NOME,PREMIO,RESULTADO,GRUPO
0,2021-03-04 16:20:00,PT-Rio,1°,7157,15
1,2021-03-04 16:20:00,PT-Rio,2°,527,7
2,2021-03-04 16:20:00,PT-Rio,3°,4025,7
3,2021-03-04 16:20:00,PT-Rio,4°,5990,23
4,2021-03-04 16:20:00,PT-Rio,5°,7921,6
5,2021-03-04 16:20:00,PT-Rio,6°,5620,5
6,2021-03-04 16:20:00,PT-Rio,7°,771,18
