,DATA,NOME,PREMIO,RESULTADO,GRUPO
0,2020-01-18 18:20:00,Look-Goias,1°,4624,6
1,2020-01-18 18:20:00,Look-Goias,2°,1813,4
2,2020-01-18 18:20:00,Look-Goias,3°,3576,19
3,2020-01-18 18:20:00,Look-Goias,4°,7633,9
4,2020-01-18 18:20:00,Look-Goias,5°,3347,12
5,2020-01-18 18:20:00,Look-Goias,6°,993,24
6,2020-01-18 18:20:00,Look-Goias,7°,383,21
