,DATA,NOME,PREMIO,RESULTADO,GRUPO
0,2020-11-25 21:20:00,PT-Rio,1º,5338,10
1,2020-11-25 21:20:00,PT-Rio,2º,6629,08
2,2020-11-25 21:20:00,PT-Rio,3º,6237,10
3,2020-11-25 21:20:00,PT-Rio,4º,620,05
4,2020-11-25 21:20:00,PT-Rio,5º,7864,16
5,2020-11-25 21:20:00,PT-Rio,6º,6688,22
6,2020-11-25 21:20:00,PT-Rio,7º,385,22
