,DATA,NOME,PREMIO,RESULTADO,GRUPO
0,2021-03-22 11:20:00,PTM-Rio,1°,7881,21
1,2021-03-22 11:20:00,PTM-Rio,2°,3994,24
2,2021-03-22 11:20:00,PTM-Rio,3°,5352,13
3,2021-03-22 11:20:00,PTM-Rio,4°,9857,15
4,2021-03-22 11:20:00,PTM-Rio,5°,9461,16
5,2021-03-22 11:20:00,PTM-Rio,6°,6545,12
6,2021-03-22 11:20:00,PTM-Rio,7°,476,19
